ANO,MES,DIA,MUNICIPIO,ESTACION,SO2,CO,NO,NO2,PM2.5,PM10,NOx,O3,TOL,BEN,EBE
2021,1,1,79,4,5.0,0.2,2.0,10.0,,,12.0,,,,
2021,1,1,79,8,2.0,0.2,4.0,23.0,3.0,4.0,29.0,51.0,0.6,0.4,0.2
2021,1,1,79,11,,,3.0,17.0,,,21.0,,0.2,0.2,0.1
2021,1,1,79,16,,,3.0,18.0,,,22.0,51.0,,,
2021,1,1,79,17,,,3.0,13.0,,,18.0,65.0,,,
2021,1,1,79,18,,0.3,2.0,12.0,,4.0,15.0,61.0,0.5,0.2,0.2
2021,1,1,79,24,,,1.0,3.0,3.0,3.0,4.0,65.0,0.1,0.2,0.1
2021,1,1,79,27,,,3.0,19.0,,,24.0,46.0,,,
2021,1,1,79,35,4.0,0.2,1.0,13.0,,,15.0,58.0,,,
2021,1,1,79,36,3.0,,3.0,20.0,,5.0,24.0,,,,
2021,1,1,79,38,,,3.0,16.0,3.0,4.0,20.0,,0.2,0.1,0.1
2021,1,1,79,39,,,2.0,15.0,,,18.0,51.0,,,
2021,1,1,79,40,,,4.0,17.0,,6.0,23.0,,,,
2021,1,1,79,47,,,1.0,11.0,3.0,3.0,12.0,,,,
2021,1,1,79,48,,,1.0,18.0,4.0,5.0,20.0,,,,
2021,1,1,79,49,,,1.0,10.0,,,12.0,61.0,,,
2021,1,1,79,50,,,7.0,21.0,4.0,7.0,31.0,,,,
2021,1,1,79,54,,,1.0,14.0,,,16.0,48.0,,,
2021,1,1,79,55,,,4.0,23.0,,10.0,29.0,,0.7,0.4,0.1
2021,1,1,79,56,,0.2,3.0,15.0,4.0,4.0,19.0,,,,
2021,1,1,79,57,2.0,,1.0,15.0,3.0,4.0,17.0,,,,
2021,1,1,79,58,,,2.0,7.0,,,9.0,55.0,,,
2021,1,1,79,59,,,1.0,7.0,,,9.0,48.0,,,
2021,1,1,79,60,,,1.0,20.0,,3.0,22.0,54.0,,,
2021,1,2,79,4,5.0,0.3,5.0,23.0,,,30.0,,,,
2021,1,2,79,8,3.0,0.3,10.0,36.0,4.0,6.0,51.0,42.0,0.9,0.7,0.2
2021,1,2,79,11,,,7.0,27.0,,,37.0,,0.4,0.2,0.1
2021,1,2,79,16,,,4.0,23.0,,,30.0,47.0,,,
2021,1,2,79,17,,,13.0,31.0,,,51.0,47.0,,,
2021,1,2,79,18,,0.4,5.0,24.0,,6.0,32.0,50.0,1.1,0.4,0.2
2021,1,2,79,24,,,1.0,9.0,3.0,4.0,11.0,57.0,0.3,0.4,0.1
2021,1,2,79,27,,,5.0,27.0,,,35.0,43.0,,,
2021,1,2,79,35,3.0,0.3,3.0,25.0,,,30.0,47.0,,,
2021,1,2,79,36,4.0,,8.0,29.0,,6.0,42.0,,,,
2021,1,2,79,38,,,8.0,28.0,3.0,5.0,41.0,,0.4,0.2,0.2
2021,1,2,79,39,,,5.0,24.0,,,32.0,45.0,,,
2021,1,2,79,40,,,8.0,27.0,,6.0,39.0,,,,
2021,1,2,79,47,,,5.0,22.0,3.0,4.0,29.0,,,,
2021,1,2,79,48,,,3.0,24.0,4.0,5.0,28.0,,,,
2021,1,2,79,49,,,2.0,19.0,,,21.0,53.0,,,
2021,1,2,79,50,,,10.0,29.0,3.0,7.0,45.0,,,,
2021,1,2,79,54,,,8.0,24.0,,,37.0,38.0,,,
2021,1,2,79,55,,,8.0,34.0,,7.0,46.0,,0.7,0.4,0.2
2021,1,2,79,56,,0.3,18.0,33.0,4.0,6.0,61.0,,,,
2021,1,2,79,57,2.0,,5.0,23.0,2.0,4.0,30.0,,,,
2021,1,2,79,58,,,2.0,12.0,,,15.0,49.0,,,
2021,1,2,79,59,,,1.0,9.0,,,11.0,46.0,,,
2021,1,2,79,60,,,2.0,25.0,,4.0,28.0,51.0,,,
